g10045.t1	sp|P19615|MYP_STRPU	35.1	2.89e-257	776	sp|P19615|MYP_STRPU Major yolk protein OS=Strongylocentrotus purpuratus OX=7668 PE=1 SV=2
g10046.t1	sp|P19615|MYP_STRPU	34.6	8.99e-238	725	sp|P19615|MYP_STRPU Major yolk protein OS=Strongylocentrotus purpuratus OX=7668 PE=1 SV=2
g1011.t1	sp|Q96PH1|NOX5_HUMAN	41.1	3.17e-190	563	sp|Q96PH1|NOX5_HUMAN NADPH oxidase 5 OS=Homo sapiens OX=9606 GN=NOX5 PE=1 SV=1
g10243.t1	sp|P12106|CO9A1_CHICK	37.3	7.97e-06	50.1	sp|P12106|CO9A1_CHICK Collagen alpha-1(IX) chain OS=Gallus gallus OX=9031 GN=COL9A1 PE=1 SV=4
g10244.t1	sp|P12107|COBA1_HUMAN	31.8	1.11e-28	129	sp|P12107|COBA1_HUMAN Collagen alpha-1(XI) chain OS=Homo sapiens OX=9606 GN=COL11A1 PE=1 SV=4
g10262.t1	sp|P32429|RL7A_CHICK	75.0	9.14e-137	389	sp|P32429|RL7A_CHICK Large ribosomal subunit protein eL8 OS=Gallus gallus OX=9031 GN=RPL7A PE=1 SV=2
g10309.t1	sp|C9D7C2|CAC1A_APIME	60.6	0.0	1482	sp|C9D7C2|CAC1A_APIME Voltage-dependent calcium channel type A subunit alpha-1 OS=Apis mellifera OX=7460 GN=CAC PE=2 SV=1
g10309.t2	sp|C9D7C2|CAC1A_APIME	60.5	0.0	1479	sp|C9D7C2|CAC1A_APIME Voltage-dependent calcium channel type A subunit alpha-1 OS=Apis mellifera OX=7460 GN=CAC PE=2 SV=1
g10309.t3	sp|C9D7C2|CAC1A_APIME	59.4	0.0	1470	sp|C9D7C2|CAC1A_APIME Voltage-dependent calcium channel type A subunit alpha-1 OS=Apis mellifera OX=7460 GN=CAC PE=2 SV=1
g10311.t1	sp|Q96RW7|HMCN1_HUMAN	35.6	0.0	1247	sp|Q96RW7|HMCN1_HUMAN Hemicentin-1 OS=Homo sapiens OX=9606 GN=HMCN1 PE=1 SV=2
g10312.t1	sp|Q96RW7|HMCN1_HUMAN	35.2	0.0	1024	sp|Q96RW7|HMCN1_HUMAN Hemicentin-1 OS=Homo sapiens OX=9606 GN=HMCN1 PE=1 SV=2
g10313.t1	sp|Q8NDA2|HMCN2_HUMAN	38.8	1.31e-17	85.9	sp|Q8NDA2|HMCN2_HUMAN Hemicentin-2 OS=Homo sapiens OX=9606 GN=HMCN2 PE=1 SV=4
g10313.t2	sp|Q8NDA2|HMCN2_HUMAN	38.6	2.78e-17	83.6	sp|Q8NDA2|HMCN2_HUMAN Hemicentin-2 OS=Homo sapiens OX=9606 GN=HMCN2 PE=1 SV=4
g10314.t1	sp|D3YXG0|HMCN1_MOUSE	40.5	2.40e-34	134	sp|D3YXG0|HMCN1_MOUSE Hemicentin-1 OS=Mus musculus OX=10090 GN=Hmcn1 PE=1 SV=1
g10314.t2	sp|D3YXG0|HMCN1_MOUSE	39.6	2.41e-33	131	sp|D3YXG0|HMCN1_MOUSE Hemicentin-1 OS=Mus musculus OX=10090 GN=Hmcn1 PE=1 SV=1
g10324.t1	sp|Q3MHM7|RL35_BOVIN	62.6	1.37e-39	131	sp|Q3MHM7|RL35_BOVIN Large ribosomal subunit protein uL29 OS=Bos taurus OX=9913 GN=RPL35 PE=2 SV=3
g10365.t1	sp|Q26481|RL5_STYCL	72.4	4.62e-159	447	sp|Q26481|RL5_STYCL Large ribosomal subunit protein uL18 OS=Styela clava OX=7725 GN=RPL5 PE=3 SV=3
g10405.t1	sp|Q8NFJ6|PKR2_HUMAN	39.3	2.08e-61	205	sp|Q8NFJ6|PKR2_HUMAN Prokineticin receptor 2 OS=Homo sapiens OX=9606 GN=PROKR2 PE=1 SV=1
g10413.t1	sp|Q9VBW3|CAD96_DROME	37.3	9.63e-60	219	sp|Q9VBW3|CAD96_DROME Tyrosine kinase receptor Cad96Ca OS=Drosophila melanogaster OX=7227 GN=Cad96Ca PE=2 SV=2
g10414.t1	sp|Q5XGZ9|MF6LB_XENLA	21.4	3.01e-19	95.9	sp|Q5XGZ9|MF6LB_XENLA Major facilitator superfamily domain-containing protein 6-like protein B OS=Xenopus laevis OX=8355 GN=mfsd6l-b PE=2 SV=1
g10419.t2	sp|Q22328|LEV9_CAEEL	31.0	8.60e-12	72.0	sp|Q22328|LEV9_CAEEL Protein lev-9 OS=Caenorhabditis elegans OX=6239 GN=lev-9 PE=1 SV=3
g10431.t1	sp|Q8QFV0|KCNT1_CHICK	59.0	2.13e-202	599	sp|Q8QFV0|KCNT1_CHICK Potassium channel subfamily T member 1 OS=Gallus gallus OX=9031 GN=KCNT1 PE=1 SV=1
g10431.t2	sp|Q8QFV0|KCNT1_CHICK	58.7	2.67e-201	597	sp|Q8QFV0|KCNT1_CHICK Potassium channel subfamily T member 1 OS=Gallus gallus OX=9031 GN=KCNT1 PE=1 SV=1
g10447.t1	sp|P86179|CSL3_ONCKE	38.9	2.37e-34	124	sp|P86179|CSL3_ONCKE L-rhamnose-binding lectin CSL3 OS=Oncorhynchus keta OX=8018 PE=1 SV=1
g10452.t1	sp|Q27433|MEC2_CAEEL	77.6	3.67e-127	373	sp|Q27433|MEC2_CAEEL Mechanosensory protein 2 OS=Caenorhabditis elegans OX=6239 GN=mec-2 PE=1 SV=1
